Field	RAJ2000	DEJ2000	ID	Period	V-I	F160W	e_F160W	Offset	Bias	IMrms	[O/H]	Flag	OCat
 	deg	deg	 	d	mag	mag	mag	pix	mag	 	[-]	 	
-----	--------	---------	-------	-------	-----	-----	-----	-----	-----	------	-----	---------	---
n4536	188.5900	+02.16830	  27185	 13.000	 0.97	24.91	 0.31	 1.64	 0.13	  2.16	 8.54	         	  0
n4536	188.6040	+02.18312	  42353	 13.070	 0.73	26.29	 0.74	 3.32	 0.37	  4.30	 8.97	rej      	  0
n4536	188.5840	+02.18070	  50718	 13.730	 0.88	24.51	 0.42	 0.88	 0.28	 11.40	 8.64	         	  0
n4536	188.5830	+02.19700	  72331	 13.910	 0.89	24.84	 0.44	 0.07	 0.22	  1.40	 8.81	         	  0
n4536	188.5900	+02.19545	  65694	 14.380	 0.98	25.26	 0.38	 2.91	 0.39	 30.80	 8.90	         	  0
n4536	188.5870	+02.18864	  58805	 14.440	 1.13	23.41	 0.35	 3.94	 0.26	 47.90	 8.78	rej      	  0
n4536	188.5860	+02.18406	  53703	 14.530	 0.72	25.38	 0.47	 0.63	 0.27	 14.90	 8.72	         	  0
n4536	188.5920	+02.20025	  70938	 14.620	 0.64	25.81	 0.58	 2.39	 0.30	 17.40	 8.94	rej      	  0
n4536	188.5940	+02.17693	  40098	 14.640	 0.95	25.12	 0.52	 4.40	 0.63	 12.90	 8.72	         	  0
n4536	188.5970	+02.18489	  48539	 15.030	 0.90	23.53	 0.31	 0.46	 0.29	  7.28	 8.89	rej      	  0
n4536	188.5900	+02.19521	  65695	 15.160	 1.03	24.49	 0.41	 1.45	 0.26	 19.30	 8.89	         	  0
n4536	188.5840	+02.19350	  66974	 15.650	 1.13	23.43	 0.44	 0.85	 0.56	 71.90	 8.79	rej      	  0
n4536	188.5880	+02.19589	  67328	 16.240	 0.82	23.98	 0.32	 0.76	 0.24	 30.20	 8.87	         	  0
n4536	188.5930	+02.20097	  71258	 17.020	 0.82	24.01	 0.27	 0.70	 0.22	 23.50	 8.95	         	  0
n4536	188.6030	+02.20339	  68306	 17.160	 0.63	24.72	 0.19	 1.03	 0.05	  8.53	 8.97	         	  0
n4536	188.5900	+02.17853	  45164	 17.310	 0.93	24.72	 0.56	 1.80	 0.43	  7.22	 8.69	         	  0
n4536	188.5900	+02.18273	  50050	 17.560	 1.06	23.58	 0.26	 0.69	 0.29	  7.02	 8.75	rej      	  0
n4536	188.5920	+02.19544	  64661	 17.650	 0.94	24.29	 0.30	 4.48	 0.19	 15.00	 8.92	         	  0
n4536	188.5850	+02.17323	  40923	 18.160	 1.06	23.95	 0.24	 0.38	 0.01	 18.90	 8.53	         	  0
n4536	188.5780	+02.19021	  66029	 18.390	 0.67	24.72	 0.24	 1.40	 0.13	  8.38	 8.67	         	  0
n4536	188.5730	+02.19417	  75137	 18.670	 0.90	24.45	 0.22	 0.40	 0.05	  8.95	 8.63	         	  0
n4536	188.5890	+02.17226	  35584	 18.890	 0.60	25.24	 0.36	 1.13	 0.16	  0.90	 8.58	rej      	  0
n4536	188.5850	+02.18952	  60991	 19.010	 0.49	24.60	 0.47	 4.48	 0.44	 45.40	 8.77	         	  0
n4536	188.5890	+02.20092	  74017	 19.310	 0.85	25.22	 0.50	 0.34	 0.37	 19.20	 8.91	rej      	  0
n4536	188.5890	+02.17081	  33174	 19.470	 0.67	24.58	 0.25	 0.95	 0.13	  9.05	 8.55	         	  0
n4536	188.5870	+02.17317	  38963	 19.600	 1.04	24.38	 0.26	 0.69	 0.11	  2.62	 8.57	         	  0
n4536	188.5900	+02.17361	  37037	 19.650	 0.85	24.37	 0.25	 2.89	 0.21	 16.20	 8.62	         	  0
n4536	188.5760	+02.18837	  65214	 19.690	 0.75	24.13	 0.23	 0.18	 0.11	 14.90	 8.61	         	  0
n4536	188.5980	+02.19878	  65080	 19.980	 0.76	24.76	 0.25	 0.70	 0.16	 20.30	 9.01	         	  0
n4536	188.5760	+02.19187	  69821	 20.410	 0.92	24.43	 0.21	 0.69	 0.06	 20.90	 8.65	         	  0
