# SN       zcmb_lit   zcmb_nedhost +/-   zcmb_nedfinal +/- zflowcorrd   mJ    err  hostEBV dm15  HostGalaxy:Cluster            Hostmorph  morph   MW_AJ     K_J   Survey
SN2004eo   0.014734   0.014747 0.000070  0.014747 0.000070  0.015259  15.496 0.010  0.128  1.41  NGC6928                       SB(s)ab     2.5   0.075411 -0.0369  CSP
SN2005M    0.022972   0.025598 0.000083  0.025598 0.000083  0.025441  16.475 0.017  0.060  0.90  NGC2930                       S?          5.0   0.022113 -0.0548  CSP
SN2005el   0.014885   0.014894 0.000017  0.014894 0.000017  0.015044  15.439 0.007  0.015  1.34  NGC1819                       SB0         1.0   0.079137 -0.0412  CSP+CfA
SN2005eq   0.0284     0.028370 0.000087  0.028370 0.000087  0.028336  16.793 0.059  0.044  0.75  MCG-01-09-06                  SB(rs)cd?   4.5   0.050787 -0.0738  CfA
SN2005kc   0.01389    0.013900 0.000087  0.013900 0.000087  0.014468  15.390 0.008  0.310  1.22  NGC7311                       Sab         2.5   0.092259 -0.0390  CSP
SN2005ki   0.02037    0.020384 0.000087  0.020384 0.000087  0.019887  16.111 0.014  0.016  1.27  NGC3332                       (R)SA0      1.0   0.021627 -0.0538  CSP
SN2006ax   0.017957   0.017969 0.000090  0.017969 0.000090  0.017908  15.719 0.010  0.016  1.00  NGC3663                       SA(rs)bc    3.5   0.033453 -0.0482  CSP
SN2006et   0.021178   0.021662 0.000163  0.021662 0.000163  0.022288  16.061 0.019  0.254  0.89  NGC232                        SB(r)a?     2.0   0.013365 -0.0450  CSP
SN2006hx   0.044404   0.044434 0.000113  0.043944 0.000073  0.044533  17.779 0.077  0.210  1.38  PGC73820:Abell168             S0          1.0   0.020736 -0.0889  CSP
SN2006le   0.0173     0.017272 0.000027  0.017272 0.000027  0.018374  15.935 0.010  0.049  0.87  UGC3218                       SAb         3.0   0.284148 -0.0472  CfA
SN2006lf   0.013      0.012972 0.000027  0.012972 0.000027  0.012037  14.945 0.220  0.020  1.36  UGC3108                       S?          4.0   0.661041 -0.0367  CfA
SN2007S    0.015024   0.015034 0.000087  0.015034 0.000087  0.015244  15.346 0.018  0.478  0.77  UGC5378                       Sb          3.0   0.017901 -0.0405  CSP
SN2007as   0.017896   0.017909 0.000460  0.017909 0.000460  0.018486  15.864 0.016  0.050  1.14  PGC026840                     SB(rs)c     4.0   0.099711 -0.0430  CSP
SN2007ba   0.039055   0.039080 0.000100  0.036062 0.000304  0.035843  17.714 0.030  0.150  1.88  UGC9798:Abell2052             S0/a        1.5   0.025677 -0.0974  CSP
SN2007bd   0.031939   0.031849 0.000163  0.031849 0.000163  0.031624  17.105 0.028  0.058  1.10  UGC4455                       SB(r)a      2.0   0.023328 -0.0817  CSP
SN2007ca   0.01507    0.015080 0.000070  0.015080 0.000070  0.014471  15.568 0.006  0.350  0.90  MCG-02-34-61                  Sc          4.0   0.046170 -0.0408  CSP
SN2008bc   0.01507    0.015718 0.000127  0.015718 0.000127  0.015623  15.542 0.009  0.005  0.85  PGC90108                      S           2.0   0.182000 -0.0428  CSP
SN2008hs   0.0166     0.016662 0.000087  0.017692 0.000050  0.018054  16.357 0.040  0.019  2.02  NGC910:Abell347               E+          0.0   0.040257 -0.0459  CfA
SN2008hv   0.013581   0.013589 0.000100  0.013589 0.000100  0.013816  15.232 0.013  0.074  1.25  NGC2765                       S0          1.0   0.022518 -0.0377  CSP+CfA
SN2009ad   0.0283     0.028336 0.000007  0.028336 0.000007  0.028587  16.880 0.031  0.045  1.03  UGC3236                       Sbc         3.5   0.077193 -0.0735  CfA
SN2009bv   0.0375     0.037459 0.000083  0.037459 0.000083  0.038302  17.552 0.028  0.076  1.00  MCG+06-29-39                  S           3.0   0.006156 -0.0929  CfA
SN2010Y    0.0113     0.011224 0.000107  0.011224 0.000107  0.012261  15.302 0.019  0.000  1.76  NGC3392                       E?          0.0   0.009477 -0.0320  CfA
SN2010ag   0.0338     0.033700 0.000177  0.033700 0.000177  0.033461  17.202 0.019  0.272  1.08  UGC10679                      Sb(f)       3.0   0.021222 -0.0863  CfA
SN2010ai   0.0193     0.019267 0.000137  0.023997 0.000063  0.022102  16.597 0.027  0.063  1.35  SDSSJ125925.04+275948.2:Coma  E           0.0   0.006642 -0.0474  CfA
PTF10bjs   0.0306     0.030551 0.000080  0.030551 0.000080  0.030573  17.033 0.029  0.000  1.01  MCG+09-21-83                  Sb          3.0   0.012150 -0.0773  CfA
SN2010ju   0.01535    0.015347 0.000013  0.015347 0.000013  0.015020  15.600 0.018  0.180  1.10  UGC3341                       SBab        2.5   0.291762 -0.0419  CfA
SN2010kg   0.01644    0.016455 0.000037  0.016455 0.000037  0.017021  15.822 0.019  0.268  1.40  NGC1633                       SAB(s)ab    2.5   0.105867 -0.0451  CfA
PTF10mwb   0.0312     0.030878 0.000010  0.030878 0.000010  0.031004  16.995 0.026  0.026  1.15  SDSSJ171750.05+405252.5       S(r)c       4.0   0.021141 -0.0803  PTF     
PTF10ufj   0.0762     0.076200 0.005000  0.076200 0.005000  0.076676  19.298 0.079  0.000  1.20  2MASXJ02253767+2445579        S0/a        1.5   0.079866 -0.1382  PTF
SN2011ao   0.01162    0.011631 0.000063  0.011631 0.000063  0.012164  14.885 0.028  0.029  0.90  IC2973                        SB(s)d      5.0   0.014094 -0.0339  CfA
