#Note - the user should implement his/her own light-curve quality cuts, and calculate his/her own mu values.  

Update 1a:  High-z HST SN distances were given here with a different format.  These have been removed. 
Update 1b: Small changes to the peculiar velocities were made from Hudson from 2M++ data.  These have <0.1% impact on H0.
Update 2: Small fix of output of DEC position of handful of CfA4 SNe.
Update 2b: Fixed the small fix of output of DEC position of handful of CfA4 SNe. 9/25/16
Update 3: Cut out id=15 as not used in Riess 2016
User note: This list does not have duplicate SNe removed - most of the SNe have the same name, but a handful of SDSS that have duplicates don't: (sdss=['16314','16392','16333','14318','17186','17784','7876’],truname=['2006oa','2006ob','2006on','2006py','2007hx','2007jg','2005ir’]).
User note: Intrinsic scatter and distance scatter due to redshift error is not included here. 11/14/2016

NVAR: 41 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX MU MUERR MUERR_NOSIGMB MURES MUPULL sbar cbar ERRCODE 

 
SN: 744 744 1 120 82N 0.12694 0.00001 0.12825 0.00001 10.4700 7.50000e-02 43.4159 37.4260 22.5996 53612.910 0.767 1.3867 0.3155 6.57977e-02 3.37941e-02 19.5367 5.76060e-02 2.74996e-04 1.49845e-05 7.15994e-04 1.30979e-07 -4.02726e-07 31 20.6747 0.9385 -30.801575 0.317392 0.317392   38.8540  0.0762  0.0762 -0.041 -0.533  1.467  0.052 0 
SN: 1112 1112 1 120 82S 0.25609 0.00001 0.25761 0.00001 11.3510 5.90000e-02 13.3437 11.8590 8.4720 53630.145 0.698 -6.05076e-01 0.7174 -2.54581e-02 5.32075e-02 21.2629 6.57151e-02 5.60832e-05 3.49932e-06 6.27207e-03 -1.37776e-06 -9.32217e-08 43 26.9626 0.9734 -20.982391 -0.375273 -0.375273   40.5843  0.1809  0.1809  0.009  0.051 -0.625 -0.024 0 
SN: 1241 1241 1 120 82S 0.08848 0.00001 0.08979 0.00001 10.6960 0.1030 63.8605 54.2820 40.1992 53635.367 0.078 -5.41778e-01 7.89597e-02 5.02601e-02 2.38546e-02 18.850924252 4.52172e-02 0.000517156484051 2.20540e-05 6.06139e-05 -2.82776e-07 -3.98893e-07 56 52.3885 0.6124 -22.327515 -0.776637 -0.776637   37.9465  0.0515  0.0515 -0.119 -2.303 -0.484  0.009 0 
SN: 1371 1371 1 120 82S 0.11797 0.00001 0.11934 0.00001 10.8930 6.70000e-02 63.8619 38.7701 38.7632 53633.305 0.107 0.7898 9.69753e-02 -9.95807e-02 2.13383e-02 18.755526411 3.61471e-02 0.000564646726249 1.86649e-05 9.42886e-05 -3.40096e-07 -2.90445e-07 55 72.2030 5.97296e-02 -10.626251 0.429294 0.429294   38.5020  0.0499  0.0499 -0.224 -4.486  0.942 -0.176 0 
SN: 1580 1580 1 120 82S 0.18322 0.00001 0.18400 0.00001 10.7500 4.00000e-02 27.1215 23.5785 16.6583 53634.039 0.282 0.8981 0.2454 -4.07320e-02 3.12441e-02 19.997411045 7.01723e-02 0.000179902653094 1.18706e-05 4.69350e-04 -6.67000e-07 -2.70149e-07 67 30.1352 1 45.322960 -0.644123 -0.644123   39.5766  0.0794  0.0794 -0.177 -2.228  1.209 -0.078 0 
SN: 1794 1794 1 120 82N 0.14070 0.00001 0.14191 0.00001 9.2700 7.60000e-02 41.7464 30.9997 22.5872 53624.680 0.550 1.1683 0.3208 3.19205e-02 2.90618e-02 19.8153614473 5.72016e-02 0.000212742118282 1.14123e-05 3.67101e-04 -2.93294e-08 -2.45773e-07 44 34.7437 0.8653 -42.163269 -0.445407 -0.445407   39.2072  0.0740  0.0740  0.074  0.998  0.990  0.049 0 
SN: 2031 2031 1 120 82S 0.15186 0.00001 0.15300 0.00001 9.2040 54.1240 57.1365 45.2261 27.1193 53636.891 0.140 0.4851 0.1436 -1.28238e-01 2.38852e-02 19.3807422823 4.64580e-02 0.000317472512237 1.34730e-05 1.78570e-05 -2.36860e-07 -2.27054e-07 53 62.9586 0.1644 -47.956879 -1.171487 -1.171487   39.1734  0.0584  0.0584 -0.138 -2.372  0.634 -0.169 0 
SN: 2102 2102 1 120 82S 0.09401 0.00001 0.09510 0.00001 11.0180 53.9370 98.6983 72.3790 41.7482 53620.195 0.503 1.2641 0.1957 -1.07760e-01 2.46565e-02 18.3532183689 5.72439e-02 0.000817952294929 4.30407e-05 -7.95013e-04 1.33621e-06 -8.18819e-07 39 37.0163 0.5607 -47.779083 0.191053 0.191053   38.1914  0.0575  0.0575 -0.006 -0.110  1.278 -0.110 0 
